"filename", "language", "XML", "Java Properties", "Java", "Batch", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\admin\products.html", "HTML", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\about.html", "HTML", 0, 0, 0, 0, 257, 0, 0, 7, 22, 286
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\cart.html", "HTML", 0, 0, 0, 0, 221, 0, 0, 15, 23, 259
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\contact.html", "HTML", 0, 0, 0, 0, 81, 0, 0, 4, 4, 89
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\health-db.html", "HTML", 0, 0, 0, 0, 84, 0, 0, 9, 11, 104
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\index.html", "HTML", 0, 0, 0, 0, 247, 0, 0, 47, 23, 317
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\news-detail.html", "HTML", 0, 0, 0, 0, 126, 0, 0, 13, 9, 148
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\news.html", "HTML", 0, 0, 0, 0, 67, 0, 0, 8, 9, 84
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\product-detail.html", "HTML", 0, 0, 0, 0, 255, 0, 0, 7, 19, 281
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\products.html", "HTML", 0, 0, 0, 0, 113, 0, 0, 9, 10, 132
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\clients\wishlist.html", "HTML", 0, 0, 0, 0, 78, 0, 0, 6, 6, 90
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\config\health-db.html", "HTML", 0, 0, 0, 0, 88, 0, 0, 13, 10, 111
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\error\404.html", "HTML", 0, 0, 0, 0, 126, 0, 0, 8, 9, 143
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\error\500.html", "HTML", 0, 0, 0, 0, 135, 0, 0, 9, 11, 155
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\error\error.html", "HTML", 0, 0, 0, 0, 126, 0, 0, 8, 9, 143
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\authLayout.html", "HTML", 0, 0, 0, 0, 113, 0, 0, 6, 12, 131
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\footer.html", "HTML", 0, 0, 0, 0, 92, 0, 0, 11, 10, 113
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\header.html", "HTML", 0, 0, 0, 0, 355, 0, 0, 22, 42, 419
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\main-layout.html", "HTML", 0, 0, 0, 0, 49, 0, 0, 4, 4, 57
"e:\WEB\Project-Shop-Spring-Boot\src\main\resources\views\layouts\sidebar.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 2, 1, 12
"e:\WEB\Project-Shop-Spring-Boot\src\test\java\com\example\spring_boot\ApplicationTests.java", "Java", 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 209, 43, 273, 139, 2750, 1963, 105, 436, 672, 6590
